DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,DK,2015,13
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,DK,2016,13
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,DK,2017,12
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,DK,2018,10
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,DK,2019,10
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,DK,2020,10
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,DK,2021,10
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2007,49
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2008,26
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2009,19
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2010,31
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2011,28
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2012,20
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2013,15
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2014,15
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2015,12
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2016,15
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2017,19
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2018,21
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2019,5
ESTAT:TRAN_SF_RAILAC(1.0),12/1/2023 11:00,A,NR,TOTAL,EE,2020,5
