LOCATION,INDICATOR,TIME,Value
IRL,INFRAINVEST,2004,194179561.4
IRL,INFRAINVEST,2005,180829604.8
IRL,INFRAINVEST,2006,173899707.9
IRL,INFRAINVEST,2007,251038589.9
IRL,INFRAINVEST,2008,147379149.1
IRL,INFRAINVEST,2009,138532474.3
IRL,INFRAINVEST,2010,101666638.1
IRL,INFRAINVEST,2011,143086988.6
IRL,INFRAINVEST,2012,64607366.86
IRL,INFRAINVEST,2013,65741389.7
IRL,INFRAINVEST,2014,1560069268
IRL,INFRAINVEST,2015,63845200.93
IRL,INFRAINVEST,2016,34831490.4
IRL,INFRAINVEST,2017,68810087.38
IRL,INFRAINVEST,2018,43610566.89
IRL,INFRAINVEST,2019,71888995.56
IRL,INFRAINVEST,2020,101000000
ITA,INFRAINVEST,1995,1950000000
ITA,INFRAINVEST,1996,2013000000
ITA,INFRAINVEST,1997,2078000000
ITA,INFRAINVEST,1998,2170000000
ITA,INFRAINVEST,1999,3681000000
ITA,INFRAINVEST,2000,4549000000
ITA,INFRAINVEST,2001,4856000000
ITA,INFRAINVEST,2002,5525000000
ITA,INFRAINVEST,2003,7403000000
ITA,INFRAINVEST,2004,8809000000
ITA,INFRAINVEST,2005,10175000000
ITA,INFRAINVEST,2006,8970000000
ITA,INFRAINVEST,2007,7702000000
ITA,INFRAINVEST,2008,7109000000
ITA,INFRAINVEST,2009,5687000000
ITA,INFRAINVEST,2010,4773000000
ITA,INFRAINVEST,2011,4466000000
ITA,INFRAINVEST,2012,4238000000
ITA,INFRAINVEST,2013,4103000000
ITA,INFRAINVEST,2014,4742000000
ITA,INFRAINVEST,2015,2861000000
ITA,INFRAINVEST,2016,3874000000
ITA,INFRAINVEST,2017,3296000000
ITA,INFRAINVEST,2018,2855000000
ITA,INFRAINVEST,2019,4246000000
ITA,INFRAINVEST,2020,9768000000
JPN,INFRAINVEST,1995,8456340090
JPN,INFRAINVEST,1996,7522380694
JPN,INFRAINVEST,1997,6198278849
JPN,INFRAINVEST,1998,6186887287
JPN,INFRAINVEST,1999,8308133793
JPN,INFRAINVEST,2000,10145572962
JPN,INFRAINVEST,2001,9586956887
JPN,INFRAINVEST,2002,9085073599
JPN,INFRAINVEST,2003,7522860701
JPN,INFRAINVEST,2004,6214676346
JPN,INFRAINVEST,2005,6050438950
JPN,INFRAINVEST,2006,6738741816
JPN,INFRAINVEST,2007,6882796271
JPN,INFRAINVEST,2008,7369257130
JPN,INFRAINVEST,2009,9601945141
JPN,INFRAINVEST,2010,11305885029
JPN,INFRAINVEST,2011,10208813812
JPN,INFRAINVEST,2012,11803122282
JPN,INFRAINVEST,2013,9192030123
JPN,INFRAINVEST,2014,8644266433
JPN,INFRAINVEST,2015,8880164753
JPN,INFRAINVEST,2016,9174734997
JPN,INFRAINVEST,2017,13574591136
JPN,INFRAINVEST,2018,15123623862
JPN,INFRAINVEST,2019,17559893925
JPN,INFRAINVEST,2020,17019744642
KOR,INFRAINVEST,2001,3107005710
KOR,INFRAINVEST,2002,3493725020
KOR,INFRAINVEST,2003,3444917323
KOR,INFRAINVEST,2004,2979729807
KOR,INFRAINVEST,2005,3846167584
KOR,INFRAINVEST,2006,3827285511
KOR,INFRAINVEST,2007,3458381040
KOR,INFRAINVEST,2008,4286806937
KOR,INFRAINVEST,2009,4628046655
KOR,INFRAINVEST,2010,5256921214
KOR,INFRAINVEST,2011,4938070506
KOR,INFRAINVEST,2012,5962700456
KOR,INFRAINVEST,2013,5837744881
KOR,INFRAINVEST,2014,6176263037
KOR,INFRAINVEST,2015,8590822330
KOR,INFRAINVEST,2016,7552826230
KOR,INFRAINVEST,2017,7771604749
KOR,INFRAINVEST,2018,5366736538
KOR,INFRAINVEST,2019,6278662977
LUX,INFRAINVEST,1995,23231763.09
LUX,INFRAINVEST,1996,167914273.5
LUX,INFRAINVEST,1997,28696427.11
LUX,INFRAINVEST,1998,35507475.23
LUX,INFRAINVEST,1999,29761823.9
LUX,INFRAINVEST,2000,39218601
LUX,INFRAINVEST,2001,72480850
LUX,INFRAINVEST,2002,68805000
LUX,INFRAINVEST,2003,88265000
LUX,INFRAINVEST,2004,106899000
LUX,INFRAINVEST,2005,126527000
LUX,INFRAINVEST,2006,103884868
LUX,INFRAINVEST,2007,138483654
LUX,INFRAINVEST,2008,149743176
LUX,INFRAINVEST,2009,172348101
LUX,INFRAINVEST,2010,156537840
LUX,INFRAINVEST,2011,150428284
LUX,INFRAINVEST,2012,124933429
LUX,INFRAINVEST,2013,145888748
LUX,INFRAINVEST,2014,191503382
LUX,INFRAINVEST,2015,277740939
LUX,INFRAINVEST,2016,317180624
LUX,INFRAINVEST,2017,289998924
LUX,INFRAINVEST,2018,263917942
LUX,INFRAINVEST,2019,235449619
LUX,INFRAINVEST,2020,265778926
MEX,INFRAINVEST,1995,168471918.7
MEX,INFRAINVEST,1996,157413937.3
MEX,INFRAINVEST,1997,233876292.3
MEX,INFRAINVEST,1998,282250219.3
MEX,INFRAINVEST,1999,381270402
MEX,INFRAINVEST,2000,430145458.5
MEX,INFRAINVEST,2001,364654792.3
MEX,INFRAINVEST,2002,338188474.1
MEX,INFRAINVEST,2003,201366278.1
MEX,INFRAINVEST,2004,191880952.5
MEX,INFRAINVEST,2005,222524000.6
MEX,INFRAINVEST,2006,370606932.5
MEX,INFRAINVEST,2007,562727261.7
MEX,INFRAINVEST,2008,498957192.4
MEX,INFRAINVEST,2009,437585757.3
MEX,INFRAINVEST,2010,434765176.3
MEX,INFRAINVEST,2011,649900395.4
MEX,INFRAINVEST,2012,590730097
MEX,INFRAINVEST,2013,699289810.6
MEX,INFRAINVEST,2014,997829712.9
MEX,INFRAINVEST,2015,1150139166
MEX,INFRAINVEST,2016,1355875508
MEX,INFRAINVEST,2017,1652722896
MEX,INFRAINVEST,2018,1455788072
MEX,INFRAINVEST,2019,800787259.7
MEX,INFRAINVEST,2020,398049883.1
MEX,INFRAINVEST,2021,484122592.1
NLD,INFRAINVEST,1997,487000000
NLD,INFRAINVEST,1998,503000000
NLD,INFRAINVEST,1999,488000000
NLD,INFRAINVEST,2000,710000000
NLD,INFRAINVEST,2001,816000000
NLD,INFRAINVEST,2002,1348000000
NLD,INFRAINVEST,2003,1298000000
NLD,INFRAINVEST,2004,1051000000
NLD,INFRAINVEST,2005,1100000000
NLD,INFRAINVEST,2006,703000000
NLD,INFRAINVEST,2007,845000000
NLD,INFRAINVEST,2008,820000000
NLD,INFRAINVEST,2009,778000000
NLD,INFRAINVEST,2010,1097000000
NLD,INFRAINVEST,2011,1136000000
NOR,INFRAINVEST,1995,323655057.6
NOR,INFRAINVEST,1996,488647039.4
NOR,INFRAINVEST,1997,389527777.1
NOR,INFRAINVEST,1998,348361624.7
NOR,INFRAINVEST,1999,197125503.6
NOR,INFRAINVEST,2000,362719844.2
NOR,INFRAINVEST,2001,199157648.9
NOR,INFRAINVEST,2002,189478169.4
NOR,INFRAINVEST,2003,200262516.4
NOR,INFRAINVEST,2004,221932894.6
NOR,INFRAINVEST,2005,193188483.6
NOR,INFRAINVEST,2006,258255347.2
NOR,INFRAINVEST,2007,310040781.7
NOR,INFRAINVEST,2008,287544985.9
NOR,INFRAINVEST,2009,358583081.3
NOR,INFRAINVEST,2010,479265550.8
NOR,INFRAINVEST,2011,561123015.9
NOR,INFRAINVEST,2012,675807638.3
NOR,INFRAINVEST,2013,838682400
NOR,INFRAINVEST,2014,1218297806
NOR,INFRAINVEST,2015,1281411812
NOR,INFRAINVEST,2016,1460608865
NOR,INFRAINVEST,2017,1249062024
NOR,INFRAINVEST,2018,1316688540
NOR,INFRAINVEST,2019,1537001127
NOR,INFRAINVEST,2020,1476857377
POL,INFRAINVEST,1995,247532557.6
POL,INFRAINVEST,1998,337549508.1
POL,INFRAINVEST,1999,237058767.9
POL,INFRAINVEST,2000,198113678.3
POL,INFRAINVEST,2001,113014351.5
POL,INFRAINVEST,2002,108472816.9
POL,INFRAINVEST,2003,194393288.3
POL,INFRAINVEST,2004,219981466
POL,INFRAINVEST,2005,236165664
POL,INFRAINVEST,2006,353264357.8
POL,INFRAINVEST,2007,646824033.2
POL,INFRAINVEST,2008,903530482.8
POL,INFRAINVEST,2009,649914545.7
POL,INFRAINVEST,2010,690112640.8
POL,INFRAINVEST,2011,925291961.1
POL,INFRAINVEST,2012,430896446.2
POL,INFRAINVEST,2013,262800505.1
POL,INFRAINVEST,2014,53052933.44
POL,INFRAINVEST,2015,340441809.3
POL,INFRAINVEST,2016,326565221.4
POL,INFRAINVEST,2017,510302375.3
POL,INFRAINVEST,2018,461906773.7
POL,INFRAINVEST,2019,654799301.9
POL,INFRAINVEST,2020,625675189.1
POL,INFRAINVEST,2021,683829973.7
PRT,INFRAINVEST,1995,196000000
PRT,INFRAINVEST,1996,260000000
PRT,INFRAINVEST,1997,476000000
PRT,INFRAINVEST,1998,536000000
PRT,INFRAINVEST,1999,342000000
PRT,INFRAINVEST,2000,401000000
PRT,INFRAINVEST,2001,418000000
PRT,INFRAINVEST,2002,523000000
PRT,INFRAINVEST,2003,704000000
PRT,INFRAINVEST,2004,484000000
PRT,INFRAINVEST,2005,415000000
PRT,INFRAINVEST,2006,307000000
PRT,INFRAINVEST,2007,329000000
PRT,INFRAINVEST,2008,392000000
PRT,INFRAINVEST,2009,360000000
PRT,INFRAINVEST,2010,403000000
PRT,INFRAINVEST,2011,333000000
PRT,INFRAINVEST,2012,86000000
PRT,INFRAINVEST,2013,71000000
PRT,INFRAINVEST,2014,120000000
PRT,INFRAINVEST,2015,177000000
PRT,INFRAINVEST,2016,79000000
PRT,INFRAINVEST,2017,110000000
PRT,INFRAINVEST,2018,132000000
PRT,INFRAINVEST,2019,216000000
PRT,INFRAINVEST,2020,220000000
PRT,INFRAINVEST,2021,307000000
SVK,INFRAINVEST,1995,59000000
SVK,INFRAINVEST,1996,107000000
SVK,INFRAINVEST,1997,121000000
SVK,INFRAINVEST,1998,64000000
SVK,INFRAINVEST,1999,37000000
SVK,INFRAINVEST,2000,53000000
SVK,INFRAINVEST,2001,169000000
SVK,INFRAINVEST,2002,241000000
SVK,INFRAINVEST,2003,91000000
SVK,INFRAINVEST,2004,91000000
SVK,INFRAINVEST,2005,160000000
SVK,INFRAINVEST,2006,225000000
SVK,INFRAINVEST,2007,287000000
SVK,INFRAINVEST,2008,214000000
SVK,INFRAINVEST,2009,175000000
SVK,INFRAINVEST,2010,273000000
SVK,INFRAINVEST,2011,289000000
SVK,INFRAINVEST,2012,216000000
SVK,INFRAINVEST,2013,324000000
SVK,INFRAINVEST,2014,276000000
SVK,INFRAINVEST,2015,295500000
SVK,INFRAINVEST,2016,131600000
SVK,INFRAINVEST,2017,231100000
SVK,INFRAINVEST,2018,279400000
SVK,INFRAINVEST,2020,176800000
SVK,INFRAINVEST,2021,220000000
ESP,INFRAINVEST,1995,767000000
ESP,INFRAINVEST,1996,816000000
ESP,INFRAINVEST,1997,686000000
ESP,INFRAINVEST,1998,944000000
ESP,INFRAINVEST,1999,1391000000
ESP,INFRAINVEST,2000,1840000000
ESP,INFRAINVEST,2001,2456000000
ESP,INFRAINVEST,2002,3652000000
ESP,INFRAINVEST,2003,3791000000
ESP,INFRAINVEST,2004,4368000000
ESP,INFRAINVEST,2005,5764000000
ESP,INFRAINVEST,2006,6336000000
ESP,INFRAINVEST,2007,8345000000
ESP,INFRAINVEST,2008,8981000000
ESP,INFRAINVEST,2009,8772000000
ESP,INFRAINVEST,2010,7669000000
ESP,INFRAINVEST,2011,7553000000
ESP,INFRAINVEST,2012,5350000000
ESP,INFRAINVEST,2013,2710000000
ESP,INFRAINVEST,2014,3042000000
ESP,INFRAINVEST,2015,2613000000
ESP,INFRAINVEST,2016,1657000000
ESP,INFRAINVEST,2017,2215000000
ESP,INFRAINVEST,2018,2168000000
ESP,INFRAINVEST,2019,2218000000
